origen,archivo,alimento,kcal_100g,alimento_normalizado
ARGENFOOD,argen_cereales.xls,"Amaranto, semilla, cruda (Amarantus mantegazzianus)",388,Amaranto Semilla Cruda (Amarantus Mantegazzianus)
ARGENFOOD,argen_cereales.xls,"Amaranto, semillia, cruda (Amarantus cruentus)",384,Amaranto Semillia Cruda (Amarantus Cruentus)
ARGENFOOD,argen_cereales.xls,"Arroz, grano, blanco, pulido, crudo",339,Arroz Grano Blanco Pulido
ARGENFOOD,argen_cereales.xls,"Arroz, grano, blanco, pulido, hervido",82,Arroz Grano Blanco Pulido Hervido
ARGENFOOD,argen_cereales.xls,"Avena , grano, arrollada, cruda",383,Avena Grano Arrollada Cruda
ARGENFOOD,argen_cereales.xls,"Avena, grano, arrollada, cruda",343,Avena Grano Arrollada Cruda
ARGENFOOD,argen_cereales.xls,"Avena, grano, arrollada, hervida",86,Avena Grano Arrollada Hervida
ARGENFOOD,argen_cereales.xls,"Cebada, grano, mondado, perlado, crudo",317,Cebada Grano Mondado Perlado
ARGENFOOD,argen_cereales.xls,"Cebada, grano, mondado, perlado, hervido",82,Cebada Grano Mondado Perlado Hervido
ARGENFOOD,argen_cereales.xls,"Cebada, harina ""Genser"", cruda",328,"Cebada Harina ""Genser"" Cruda"
ARGENFOOD,argen_cereales.xls,"Centeno, harina, clara, cruda",332,Centeno Harina Clara Cruda
ARGENFOOD,argen_cereales.xls,"Centeno, pan",206,Centeno Pan
ARGENFOOD,argen_cereales.xls,"Centeno, pan con harina integral",214,Centeno Pan Con Harina Integral
ARGENFOOD,argen_cereales.xls,"Maiz, amarillo Leales, grano entero, crudo",346,Maiz Amarillo Leales Grano Entero
ARGENFOOD,argen_cereales.xls,"Maiz amarillo, pisingallo, grano entero, crudo",345,Maiz Amarillo Pisingallo Grano Entero
ARGENFOOD,argen_cereales.xls,"Maiz amarillo, sémola, grano entero, crudo",305,Maiz Amarillo Semola Grano Entero
ARGENFOOD,argen_cereales.xls,"Maiz, amarillo trópico 327, grano entero, crudo",344,Maiz Amarillo Tropico 327 Grano Entero
ARGENFOOD,argen_cereales.xls,"Maiz, blanco 8 rayas, grano entero, crudo",340,Maiz Blanco 8 Rayas Grano Entero
ARGENFOOD,argen_cereales.xls,"Maiz, blanco perla, grano entero, crudo",335,Maiz Blanco Perla Grano Entero
ARGENFOOD,argen_cereales.xls,"Maiz, choclo",97,Maiz Choclo
ARGENFOOD,argen_cereales.xls,"Maiz, grano, entero (Zea mays spp)",346,Maiz Grano Entero (Zea Mays Spp)
ARGENFOOD,argen_cereales.xls,"Maiz, harina amarilla (polenta), cruda",369,Maiz Harina Amarilla (Polenta) Cruda
ARGENFOOD,argen_cereales.xls,"Maiz, harina amarilla (polenta), cruda",338,Maiz Harina Amarilla (Polenta) Cruda
ARGENFOOD,argen_cereales.xls,"Maiz, harina amarilla (polenta), hervida",68,Maiz Harina Amarilla (Polenta) Hervida
ARGENFOOD,argen_cereales.xls,"Maiz, pan",275,Maiz Pan
ARGENFOOD,argen_cereales.xls,"Trigo, bizcochos ""Bay Biscuit""",382,"Trigo Bizcochos ""Bay Biscuit"""
ARGENFOOD,argen_cereales.xls,"Trigo, bizcochos, vainillas",401,Trigo Bizcochos Vainillas
ARGENFOOD,argen_cereales.xls,"Trigo, galleta de campo",300,Trigo Galleta De Campo
ARGENFOOD,argen_cereales.xls,"Trigo, galleta marinera",361,Trigo Galleta Marinera
ARGENFOOD,argen_cereales.xls,"Trigo, galletitas de agua ""Express""",442,"Trigo Galletitas De Agua ""Express"""
ARGENFOOD,argen_cereales.xls,"Trigo, galletitas de agua ""Traviata""",437,"Trigo Galletitas De Agua ""Traviata"""
ARGENFOOD,argen_cereales.xls,"Trigo, galletitas de harina blanca",410,Trigo Galletitas De Harina Blanca
ARGENFOOD,argen_cereales.xls,"Trigo, galletitas de harina integral",411,Trigo Galletitas De Harina Integral
ARGENFOOD,argen_cereales.xls,"Trigo, galletitas dulces ""Manón""",417,"Trigo Galletitas Dulces ""Manon"""
ARGENFOOD,argen_cereales.xls,"Trigo, galletitas dulces ""Minue""",419,"Trigo Galletitas Dulces ""Minue"""
ARGENFOOD,argen_cereales.xls,"Trigo, galletitas oblea ""Opera""",442,"Trigo Galletitas Oblea ""Opera"""
ARGENFOOD,argen_cereales.xls,"Trigo, grano entero, crudo",347,Trigo Grano Entero
ARGENFOOD,argen_cereales.xls,"Trigo, grisines",342,Trigo Grisines
ARGENFOOD,argen_cereales.xls,"Trigo, harina cuatro ceros",348,Trigo Harina Cuatro Ceros
ARGENFOOD,argen_cereales.xls,"Trigo, harina integral",308,Trigo Harina Integral
ARGENFOOD,argen_cereales.xls,"Trigo, harina tres cero",340,Trigo Harina Tres Cero
ARGENFOOD,argen_cereales.xls,"Trigo, pan alemán",264,Trigo Pan Aleman
ARGENFOOD,argen_cereales.xls,"Trigo, pan criollo",280,Trigo Pan Criollo
ARGENFOOD,argen_cereales.xls,"Trigo, pan de salvado",223,Trigo Pan De Salvado
ARGENFOOD,argen_cereales.xls,"Trigo, pan de Viena",307,Trigo Pan De Viena
ARGENFOOD,argen_cereales.xls,"Trigo, pan francés",268,Trigo Pan Frances
ARGENFOOD,argen_cereales.xls,"Trigo, pan francés",269,Trigo Pan Frances
ARGENFOOD,argen_cereales.xls,"Trigo, pan negro con levadura agria",271,Trigo Pan Negro Con Levadura Agria
ARGENFOOD,argen_cereales.xls,"Trigo, pan negro con levadura comprimida",269,Trigo Pan Negro Con Levadura Comprimida
ARGENFOOD,argen_cereales.xls,"Trigo, pan negro sin levadura",269,Trigo Pan Negro Sin Levadura
ARGENFOOD,argen_cereales.xls,"Trigo, salvado",171,Trigo Salvado
ARGENFOOD,argen_cereales.xls,"Trigo, sémola, cruda",349,Trigo Semola Cruda
ARGENFOOD,argen_cereales.xls,"Trigo, sémola, hervida",70,Trigo Semola Hervida
ARGENFOOD,argen_cereales.xls,"Trigo, tallarines, frescos, hervidos",98,Trigo Tallarines S Hervidos
