alimento_normalizado,kcal_100g,archivo,categoria,medida_casera,gramos_aprox,kcal_por_porcion
Amarillo Hervido Musculo Dorsal,180.0,argen_pescados.xls,pescado,porcion_carne_chica,100,180.0
Anchoa Fresca Cruda Carne,92.0,argen_pescados.xls,pescado,porcion_carne_chica,100,92.0
Anchoita Fresca Cruda Carne,129.0,argen_pescados.xls,pescado,porcion_carne_chica,100,129.0
Armado Al Horno Musculo Dorsal,128.0,argen_pescados.xls,pescado,porcion_carne_chica,100,128.0
Armado Musculo Dorsal,75.0,argen_pescados.xls,pescado,porcion_carne_chica,100,75.0
Armado Musculo Ventral,103.0,argen_pescados.xls,pescado,porcion_carne_chica,100,103.0
Armado Frito Musculo Dorsal,130.0,argen_pescados.xls,pescado,porcion_carne_chica,100,130.0
Armado Hervido Musculo Dorsal,102.0,argen_pescados.xls,pescado,porcion_carne_chica,100,102.0
Besugo Carne,100.0,argen_pescados.xls,pescado,porcion_carne_chica,100,100.0
Boga Fresca A La Parrilla Musculo Dorsal,150.0,argen_pescados.xls,pescado,porcion_carne_chica,100,150.0
Boga Fresca Al Horno Musculo Dorsal,150.0,argen_pescados.xls,pescado,porcion_carne_chica,100,150.0
Boga Fresca Cruda Musculo Ventral,180.0,argen_pescados.xls,pescado,porcion_carne_chica,100,180.0
Boga Fresca Frita Musculo Dorsal,168.0,argen_pescados.xls,pescado,porcion_carne_chica,100,168.0
Boga Fresca Hervida Musculo Dorsal,158.0,argen_pescados.xls,pescado,porcion_carne_chica,100,158.0
Bonito Carne,219.0,argen_pescados.xls,pescado,porcion_carne_chica,100,219.0
Brotola Fresca Cruda Carne,83.0,argen_pescados.xls,pescado,porcion_carne_chica,100,83.0
Caballa Fresca Cruda Carne,232.0,argen_pescados.xls,pescado,porcion_carne_chica,100,232.0
Castaneta Fresca Cruda Carne,95.0,argen_pescados.xls,pescado,porcion_carne_chica,100,95.0
Castaneta Fresca Cruda Entera,170.0,argen_pescados.xls,pescado,porcion_carne_chica,100,170.0
Congrio Carne,107.0,argen_pescados.xls,pescado,porcion_carne_chica,100,107.0
Cornalito Entero,86.0,argen_pescados.xls,pescado,porcion_carne_chica,100,86.0
Corvina Blanca Fresca Cruda Carne,97.0,argen_pescados.xls,pescado,porcion_carne_chica,100,97.0
Corvina Negra Fresca Cruda Carne,84.0,argen_pescados.xls,pescado,porcion_carne_chica,100,84.0
Dorado Carne,80.0,argen_pescados.xls,pescado,porcion_carne_chica,100,80.0
Gatuso Carne,72.0,argen_pescados.xls,pescado,porcion_carne_chica,100,72.0
Jurel Carne,149.0,argen_pescados.xls,pescado,porcion_carne_chica,100,149.0
Lenguado Carne,78.0,argen_pescados.xls,pescado,porcion_carne_chica,100,78.0
Lisa Fresca Cruda Carne,146.0,argen_pescados.xls,pescado,porcion_carne_chica,100,146.0
Merluza Fresca Cruda Carne,81.0,argen_pescados.xls,pescado,porcion_carne_chica,100,81.0
Mero Carne,83.0,argen_pescados.xls,pescado,porcion_carne_chica,100,83.0
Moncholo Al Horno Musculo Dorsal,189.0,argen_pescados.xls,pescado,porcion_carne_chica,100,189.0
Moncholo Musculo Dorsal,112.0,argen_pescados.xls,pescado,porcion_carne_chica,100,112.0
Moncholo Musculo Ventral,148.0,argen_pescados.xls,pescado,porcion_carne_chica,100,148.0
Moncholo Hervido Musculo Dorsal,187.0,argen_pescados.xls,pescado,porcion_carne_chica,100,187.0
Palometa Fresca Cruda Carne,215.0,argen_pescados.xls,pescado,porcion_carne_chica,100,215.0
Pargo Carne,113.0,argen_pescados.xls,pescado,porcion_carne_chica,100,113.0
Pati A La Parrilla Musculo Dorsal,169.0,argen_pescados.xls,pescado,porcion_carne_chica,100,169.0
Pati Al Horno Musculo Dorsal,183.0,argen_pescados.xls,pescado,porcion_carne_chica,100,183.0
Pati Carne,90.0,argen_pescados.xls,pescado,porcion_carne_chica,100,90.0
Pati Musculo Dorsal,161.0,argen_pescados.xls,pescado,porcion_carne_chica,100,161.0
Pati Musculo Ventral,159.0,argen_pescados.xls,pescado,porcion_carne_chica,100,159.0
