origen,archivo,alimento,kcal_100g
ARGENFOOD,argen_grasas.xls,Aceite de maiz Mazzola,900
ARGENFOOD,argen_grasas.xls,Aceite de oliva Cocinero,900
ARGENFOOD,argen_grasas.xls,Aceite de uva Cocinero,900
ARGENFOOD,argen_grasas.xls,Grasa de cerdo,898
ARGENFOOD,argen_grasas.xls,Grasa Vacuna,899
ARGENFOOD,argen_grasas.xls,Margarina 100% vegetal Delicia,747
ARGENFOOD,argen_grasas.xls,Margarina 100% vegetal Manty (en pote y en pan),747
ARGENFOOD,argen_grasas.xls,Margarina reducida en calorias Manty liviana,504
ARGENFOOD,argen_huevo.xls,Alimento,Energía
ARGENFOOD,argen_huevo.xls,"Huevo de codorniz, entero, crudo",174
ARGENFOOD,argen_huevo.xls,"Huevo de gallina, clara, cocido",54
ARGENFOOD,argen_huevo.xls,"Huevo de gallina, clara, cruda",48
ARGENFOOD,argen_huevo.xls,"Huevo de gallina, entero, crudo",156
ARGENFOOD,argen_huevo.xls,"Huevo de gallina, frito",196
ARGENFOOD,argen_huevo.xls,"Huevo de gallina, poché",152
ARGENFOOD,argen_huevo.xls,"Huevo de gallina, yema, cruda",325
ARGENFOOD,argen_leche.xls,Alimento,Energía
ARGENFOOD,argen_leche.xls,"Leche, condensada, Nestlé",328
ARGENFOOD,argen_leche.xls,"Leche de burra, entera, fluida",45
ARGENFOOD,argen_leche.xls,"Leche de cabra, entera, fluida",78
ARGENFOOD,argen_leche.xls,"Leche de oveja, entera, fluida",99
ARGENFOOD,argen_leche.xls,"Leche de vaca, entera, fluida, adicionada con vitamina A",57
ARGENFOOD,argen_leche.xls,"Leche de vaca, entera, fluida, pasteurizada",57
ARGENFOOD,argen_leche.xls,"Leche de vaca parcialm. descremada, adic. con vit A y D",44
ARGENFOOD,argen_leche.xls,Leche en polvo descremada,370
ARGENFOOD,argen_leche.xls,Leche en polvo entera,489
ARGENFOOD,argen_leche.xls,"Leche humana, entera, en polvo",520
ARGENFOOD,argen_leche.xls,"Leche humana, entera, fluida",71
ARGENFOOD,argen_leche.xls,"Manteca, fresca",758
ARGENFOOD,argen_leche.xls,"Queso crema, entero, untable",246
ARGENFOOD,argen_leche.xls,"Queso descremado, untable",82
ARGENFOOD,argen_leche.xls,"Queso, Petit Suisse",182
ARGENFOOD,argen_leche.xls,"Queso semidescremado, untable",104
ARGENFOOD,argen_leche.xls,Queso  Blanco Argentino Semimagro,104
ARGENFOOD,argen_leche.xls,Queso Belpaese,309
ARGENFOOD,argen_leche.xls,Queso Camembert,287
ARGENFOOD,argen_leche.xls,Queso cremoso,302
ARGENFOOD,argen_leche.xls,Queso cuartirolo,291
ARGENFOOD,argen_leche.xls,Queso doble crema,260
ARGENFOOD,argen_leche.xls,Queso Limburgués,324
ARGENFOOD,argen_leche.xls,Queso mozarella,282
ARGENFOOD,argen_leche.xls,Queso Por Salut,301
ARGENFOOD,argen_leche.xls,Queso azul,377
ARGENFOOD,argen_leche.xls,Queso Cheddar,357
ARGENFOOD,argen_leche.xls,Queso Chubut,328
ARGENFOOD,argen_leche.xls,Queso Fontina,340
ARGENFOOD,argen_leche.xls,Queso Gorgonzola,480
ARGENFOOD,argen_leche.xls,Queso Gruyere,379
ARGENFOOD,argen_leche.xls,Queso Holanda,345
ARGENFOOD,argen_leche.xls,Queso Pategrás,410
ARGENFOOD,argen_leche.xls,Queso Roquefort,426
ARGENFOOD,argen_leche.xls,Queso Suizo,404
ARGENFOOD,argen_leche.xls,Queso Tafí,358
ARGENFOOD,argen_leche.xls,Queso Tandil,345
ARGENFOOD,argen_leche.xls,Queso tipo Mar del Plata,332
ARGENFOOD,argen_leche.xls,Queso Goya,402
ARGENFOOD,argen_leche.xls,Queso Parmesano,350
ARGENFOOD,argen_leche.xls,Queso Provolone,391
ARGENFOOD,argen_leche.xls,Queso Reggianito,365
ARGENFOOD,argen_leche.xls,Queso Sardo,402
ARGENFOOD,argen_leche.xls,Queso Sbrinz,357
ARGENFOOD,argen_leche.xls,Ricota de leche entera,168
ARGENFOOD,argen_leche.xls,Ricotta semidescremada,168
ARGENFOOD,argen_leche.xls,Yogur descremado,59
ARGENFOOD,argen_leche.xls,Yogur descremado bebible,30
ARGENFOOD,argen_leche.xls,Yogur descremado fortificado con Ca,48
ARGENFOOD,argen_leche.xls,Yogur entero bebible,82
ARGENFOOD,argen_leche.xls,Yogur entero natural,66
ARGENFOOD,argen_leche.xls,Yogur entero saborizado,88
ARGENFOOD,argen_misc.xls,Alimento,Energía
ARGENFOOD,argen_misc.xls,Mayonesa reducida en calorías,320
ARGENFOOD,argen_misc.xls,Mayonesa Ri-k,723
ARGENFOOD,argen_misc.xls,Mortadela,245
ARGENFOOD,argen_misc.xls,Polen de Totora,288
ARGENFOOD,argen_pescados.xls,Alimento,Energía
